userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000091583	APOH	apolipoprotein H	350	https://www.ncbi.nlm.nih.gov/gene/?term=350
ENSG00000142192	APP	amyloid beta precursor protein	351	https://www.ncbi.nlm.nih.gov/gene/?term=351
ENSG00000118971	CCND2	cyclin D2	894	https://www.ncbi.nlm.nih.gov/gene/?term=894
ENSG00000168542	COL3A1	collagen type III alpha 1 chain	1281	https://www.ncbi.nlm.nih.gov/gene/?term=1281
ENSG00000204262	COL5A2	collagen type V alpha 2 chain	1290	https://www.ncbi.nlm.nih.gov/gene/?term=1290
ENSG00000124875	CXCL6	C-X-C motif chemokine ligand 6	6372	https://www.ncbi.nlm.nih.gov/gene/?term=6372
ENSG00000077782	FGFR1	fibroblast growth factor receptor 1	2260	https://www.ncbi.nlm.nih.gov/gene/?term=2260
ENSG00000163430	FSTL1	follistatin like 1	11167	https://www.ncbi.nlm.nih.gov/gene/?term=11167
ENSG00000138448	ITGAV	integrin subunit alpha V	3685	https://www.ncbi.nlm.nih.gov/gene/?term=3685
ENSG00000101384	JAG1	jagged canonical Notch ligand 1	182	https://www.ncbi.nlm.nih.gov/gene/?term=182
ENSG00000184916	JAG2	jagged canonical Notch ligand 2	3714	https://www.ncbi.nlm.nih.gov/gene/?term=3714
ENSG00000121361	KCNJ8	potassium voltage-gated channel subfamily J member 8	3764	https://www.ncbi.nlm.nih.gov/gene/?term=3764
ENSG00000175445	LPL	lipoprotein lipase	4023	https://www.ncbi.nlm.nih.gov/gene/?term=4023
ENSG00000163956	LRPAP1	LDL receptor related protein associated protein 1	4043	https://www.ncbi.nlm.nih.gov/gene/?term=4043
ENSG00000139329	LUM	lumican	4060	https://www.ncbi.nlm.nih.gov/gene/?term=4060
ENSG00000163132	MSX1	msh homeobox 1	4487	https://www.ncbi.nlm.nih.gov/gene/?term=4487
ENSG00000099250	NRP1	neuropilin 1	8829	https://www.ncbi.nlm.nih.gov/gene/?term=8829
ENSG00000173391	OLR1	oxidized low density lipoprotein receptor 1	4973	https://www.ncbi.nlm.nih.gov/gene/?term=4973
ENSG00000197461	PDGFA	platelet derived growth factor subunit A	5154	https://www.ncbi.nlm.nih.gov/gene/?term=5154
ENSG00000163737	PF4	platelet factor 4	5196	https://www.ncbi.nlm.nih.gov/gene/?term=5196
ENSG00000008438	PGLYRP1	peptidoglycan recognition protein 1	8993	https://www.ncbi.nlm.nih.gov/gene/?term=8993
ENSG00000133110	POSTN	periostin	10631	https://www.ncbi.nlm.nih.gov/gene/?term=10631
ENSG00000186652	PRG2	proteoglycan 2, pro eosinophil major basic protein	5553	https://www.ncbi.nlm.nih.gov/gene/?term=5553
ENSG00000169398	PTK2	protein tyrosine kinase 2	5747	https://www.ncbi.nlm.nih.gov/gene/?term=5747
ENSG00000196154	S100A4	S100 calcium binding protein A4	6275	https://www.ncbi.nlm.nih.gov/gene/?term=6275
ENSG00000188488	SERPINA5	serpin family A member 5	5104	https://www.ncbi.nlm.nih.gov/gene/?term=5104
ENSG00000174640	SLCO2A1	solute carrier organic anion transporter family member 2A1	6578	https://www.ncbi.nlm.nih.gov/gene/?term=6578
ENSG00000118785	SPP1	secreted phosphoprotein 1	6696	https://www.ncbi.nlm.nih.gov/gene/?term=6696
ENSG00000159167	STC1	stanniocalcin 1	6781	https://www.ncbi.nlm.nih.gov/gene/?term=6781
ENSG00000178726	THBD	thrombomodulin	7056	https://www.ncbi.nlm.nih.gov/gene/?term=7056
ENSG00000102265	TIMP1	TIMP metallopeptidase inhibitor 1	7076	https://www.ncbi.nlm.nih.gov/gene/?term=7076
ENSG00000146072	TNFRSF21	TNF receptor superfamily member 21	27242	https://www.ncbi.nlm.nih.gov/gene/?term=27242
ENSG00000160293	VAV2	vav guanine nucleotide exchange factor 2	7410	https://www.ncbi.nlm.nih.gov/gene/?term=7410
ENSG00000038427	VCAN	versican	1462	https://www.ncbi.nlm.nih.gov/gene/?term=1462
ENSG00000112715	VEGFA	vascular endothelial growth factor A	7422	https://www.ncbi.nlm.nih.gov/gene/?term=7422
ENSG00000109072	VTN	vitronectin	7448	https://www.ncbi.nlm.nih.gov/gene/?term=7448
