userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000154175	ABI3BP	ABI family member 3 binding protein	25890	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ENSG00000107796	ACTA2	actin alpha 2, smooth muscle	59	https://www.ncbi.nlm.nih.gov/gene/?term=59
ENSG00000148848	ADAM12	ADAM metallopeptidase domain 12	8038	https://www.ncbi.nlm.nih.gov/gene/?term=8038
ENSG00000166825	ANPEP	alanyl aminopeptidase, membrane	290	https://www.ncbi.nlm.nih.gov/gene/?term=290
ENSG00000105290	APLP1	amyloid beta precursor like protein 1	333	https://www.ncbi.nlm.nih.gov/gene/?term=333
ENSG00000109321	AREG	amphiregulin	374	https://www.ncbi.nlm.nih.gov/gene/?term=374
ENSG00000176788	BASP1	brain abundant membrane attached signal protein 1	10409	https://www.ncbi.nlm.nih.gov/gene/?term=10409
ENSG00000176697	BDNF	brain derived neurotrophic factor	627	https://www.ncbi.nlm.nih.gov/gene/?term=627
ENSG00000182492	BGN	biglycan	633	https://www.ncbi.nlm.nih.gov/gene/?term=633
ENSG00000168487	BMP1	bone morphogenetic protein 1	649	https://www.ncbi.nlm.nih.gov/gene/?term=649
ENSG00000182985	CADM1	cell adhesion molecule 1	23705	https://www.ncbi.nlm.nih.gov/gene/?term=23705
ENSG00000122786	CALD1	caldesmon 1	800	https://www.ncbi.nlm.nih.gov/gene/?term=800
ENSG00000128595	CALU	calumenin	813	https://www.ncbi.nlm.nih.gov/gene/?term=813
ENSG00000112186	CAP2	cyclase associated actin cytoskeleton regulatory protein 2	10486	https://www.ncbi.nlm.nih.gov/gene/?term=10486
ENSG00000042493	CAPG	capping actin protein, gelsolin like	822	https://www.ncbi.nlm.nih.gov/gene/?term=822
ENSG00000026508	CD44	CD44 molecule (Indian blood group)	960	https://www.ncbi.nlm.nih.gov/gene/?term=960
ENSG00000085063	CD59	CD59 molecule (CD59 blood group)	966	https://www.ncbi.nlm.nih.gov/gene/?term=966
ENSG00000140937	CDH11	cadherin 11	1009	https://www.ncbi.nlm.nih.gov/gene/?term=1009
ENSG00000170558	CDH2	cadherin 2	1000	https://www.ncbi.nlm.nih.gov/gene/?term=1000
ENSG00000113361	CDH6	cadherin 6	1004	https://www.ncbi.nlm.nih.gov/gene/?term=1004
ENSG00000060718	COL11A1	collagen type XI alpha 1 chain	1301	https://www.ncbi.nlm.nih.gov/gene/?term=1301
ENSG00000111799	COL12A1	collagen type XII alpha 1 chain	1303	https://www.ncbi.nlm.nih.gov/gene/?term=1303
ENSG00000084636	COL16A1	collagen type XVI alpha 1 chain	1307	https://www.ncbi.nlm.nih.gov/gene/?term=1307
ENSG00000108821	COL1A1	collagen type I alpha 1 chain	1277	https://www.ncbi.nlm.nih.gov/gene/?term=1277
ENSG00000164692	COL1A2	collagen type I alpha 2 chain	1278	https://www.ncbi.nlm.nih.gov/gene/?term=1278
ENSG00000168542	COL3A1	collagen type III alpha 1 chain	1281	https://www.ncbi.nlm.nih.gov/gene/?term=1281
ENSG00000187498	COL4A1	collagen type IV alpha 1 chain	1282	https://www.ncbi.nlm.nih.gov/gene/?term=1282
ENSG00000134871	COL4A2	collagen type IV alpha 2 chain	1284	https://www.ncbi.nlm.nih.gov/gene/?term=1284
ENSG00000130635	COL5A1	collagen type V alpha 1 chain	1289	https://www.ncbi.nlm.nih.gov/gene/?term=1289
ENSG00000204262	COL5A2	collagen type V alpha 2 chain	1290	https://www.ncbi.nlm.nih.gov/gene/?term=1290
ENSG00000080573	COL5A3	collagen type V alpha 3 chain	50509	https://www.ncbi.nlm.nih.gov/gene/?term=50509
ENSG00000142173	COL6A2	collagen type VI alpha 2 chain	1292	https://www.ncbi.nlm.nih.gov/gene/?term=1292
ENSG00000163359	COL6A3	collagen type VI alpha 3 chain	1293	https://www.ncbi.nlm.nih.gov/gene/?term=1293
ENSG00000114270	COL7A1	collagen type VII alpha 1 chain	1294	https://www.ncbi.nlm.nih.gov/gene/?term=1294
ENSG00000171812	COL8A2	collagen type VIII alpha 2 chain	1296	https://www.ncbi.nlm.nih.gov/gene/?term=1296
ENSG00000105664	COMP	cartilage oligomeric matrix protein	1311	https://www.ncbi.nlm.nih.gov/gene/?term=1311
ENSG00000122218	COPA	coatomer protein complex subunit alpha	1314	https://www.ncbi.nlm.nih.gov/gene/?term=1314
ENSG00000006016	CRLF1	cytokine receptor like factor 1	9244	https://www.ncbi.nlm.nih.gov/gene/?term=9244
ENSG00000118523	CCN2	cellular communication network factor 2	1490	https://www.ncbi.nlm.nih.gov/gene/?term=1490
ENSG00000164932	CTHRC1	collagen triple helix repeat containing 1	115908	https://www.ncbi.nlm.nih.gov/gene/?term=115908
ENSG00000163739	CXCL1	C-X-C motif chemokine ligand 1	2919	https://www.ncbi.nlm.nih.gov/gene/?term=2919
ENSG00000107562	CXCL12	C-X-C motif chemokine ligand 12	6387	https://www.ncbi.nlm.nih.gov/gene/?term=6387
ENSG00000124875	CXCL6	C-X-C motif chemokine ligand 6	6372	https://www.ncbi.nlm.nih.gov/gene/?term=6372
ENSG00000142871	CCN1	cellular communication network factor 1	3491	https://www.ncbi.nlm.nih.gov/gene/?term=3491
ENSG00000153071	DAB2	DAB2, clathrin adaptor protein	1601	https://www.ncbi.nlm.nih.gov/gene/?term=1601
ENSG00000011465	DCN	decorin	1634	https://www.ncbi.nlm.nih.gov/gene/?term=1634
ENSG00000107984	DKK1	dickkopf WNT signaling pathway inhibitor 1	22943	https://www.ncbi.nlm.nih.gov/gene/?term=22943
ENSG00000113657	DPYSL3	dihydropyrimidinase like 3	1809	https://www.ncbi.nlm.nih.gov/gene/?term=1809
ENSG00000151914	DST	dystonin	667	https://www.ncbi.nlm.nih.gov/gene/?term=667
ENSG00000143369	ECM1	extracellular matrix protein 1	1893	https://www.ncbi.nlm.nih.gov/gene/?term=1893
ENSG00000164176	EDIL3	EGF like repeats and discoidin domains 3	10085	https://www.ncbi.nlm.nih.gov/gene/?term=10085
