userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000023839	ABCC2	ATP binding cassette subfamily C member 2	1244	https://www.ncbi.nlm.nih.gov/gene/?term=1244
ENSG00000108846	ABCC3	ATP binding cassette subfamily C member 3	8714	https://www.ncbi.nlm.nih.gov/gene/?term=8714
ENSG00000173208	ABCD2	ATP binding cassette subfamily D member 2	225	https://www.ncbi.nlm.nih.gov/gene/?term=225
ENSG00000163686	ABHD6	abhydrolase domain containing 6	57406	https://www.ncbi.nlm.nih.gov/gene/?term=57406
ENSG00000100412	ACO2	aconitase 2	50	https://www.ncbi.nlm.nih.gov/gene/?term=50
ENSG00000161533	ACOX1	acyl-CoA oxidase 1	51	https://www.ncbi.nlm.nih.gov/gene/?term=51
ENSG00000168306	ACOX2	acyl-CoA oxidase 2	8309	https://www.ncbi.nlm.nih.gov/gene/?term=8309
ENSG00000087008	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	https://www.ncbi.nlm.nih.gov/gene/?term=8310
ENSG00000143727	ACP1	acid phosphatase 1	52	https://www.ncbi.nlm.nih.gov/gene/?term=52
ENSG00000134575	ACP2	acid phosphatase 2, lysosomal	53	https://www.ncbi.nlm.nih.gov/gene/?term=53
ENSG00000166743	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	https://www.ncbi.nlm.nih.gov/gene/?term=116285
ENSG00000248144	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	https://www.ncbi.nlm.nih.gov/gene/?term=126
ENSG00000197894	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	128	https://www.ncbi.nlm.nih.gov/gene/?term=128
ENSG00000196344	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	131	https://www.ncbi.nlm.nih.gov/gene/?term=131
ENSG00000101444	AHCY	adenosylhomocysteinase	191	https://www.ncbi.nlm.nih.gov/gene/?term=191
ENSG00000151632	AKR1C2	aldo-keto reductase family 1 member C2	1646	https://www.ncbi.nlm.nih.gov/gene/?term=1646
ENSG00000196139	AKR1C3	aldo-keto reductase family 1 member C3	8644	https://www.ncbi.nlm.nih.gov/gene/?term=8644
ENSG00000023330	ALAS1	5'-aminolevulinate synthase 1	211	https://www.ncbi.nlm.nih.gov/gene/?term=211
ENSG00000111275	ALDH2	aldehyde dehydrogenase 2 family member	217	https://www.ncbi.nlm.nih.gov/gene/?term=217
ENSG00000108602	ALDH3A1	aldehyde dehydrogenase 3 family member A1	218	https://www.ncbi.nlm.nih.gov/gene/?term=218
ENSG00000143149	ALDH9A1	aldehyde dehydrogenase 9 family member A1	223	https://www.ncbi.nlm.nih.gov/gene/?term=223
ENSG00000132855	ANGPTL3	angiopoietin like 3	27329	https://www.ncbi.nlm.nih.gov/gene/?term=27329
ENSG00000138356	AOX1	aldehyde oxidase 1	316	https://www.ncbi.nlm.nih.gov/gene/?term=316
ENSG00000134262	AP4B1	adaptor related protein complex 4 subunit beta 1	10717	https://www.ncbi.nlm.nih.gov/gene/?term=10717
ENSG00000130203	APOE	apolipoprotein E	348	https://www.ncbi.nlm.nih.gov/gene/?term=348
