geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
hsa04714	Thermogenesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04714+10063+10975+1327+1329+1337+1340+1345+1349+1350+1351+1374+1537+27089+29796+374291+4694+4697+4698+4700+4701+4702+4704+4707+4709+4710+4712+4714+4719+4720+4722+4723+4726+4728+4729+6389+6390+6391+6392+7381+7384+7385+7386+7388+788+9167+9377	163	46	3.563324299909666	12.909293717994219	0	0	10063;10975;1327;1329;1337;1340;1345;1349;1350;1351;1374;1537;27089;29796;374291;4694;4697;4698;4700;4701;4702;4704;4707;4709;4710;4712;4714;4719;4720;4722;4723;4726;4728;4729;6389;6390;6391;6392;7381;7384;7385;7386;7388;788;9167;9377	ENSG00000138495;ENSG00000131143;ENSG00000178741;ENSG00000135940;ENSG00000111775;ENSG00000126267;ENSG00000164919;ENSG00000115944;ENSG00000131174;ENSG00000127184;ENSG00000176340;ENSG00000110090;ENSG00000179091;ENSG00000125356;ENSG00000189043;ENSG00000128609;ENSG00000184983;ENSG00000272765;ENSG00000273397;ENSG00000277365;ENSG00000281013;ENSG00000267855;ENSG00000119421;ENSG00000139180;ENSG00000183648;ENSG00000119013;ENSG00000065518;ENSG00000165264;ENSG00000166136;ENSG00000023228;ENSG00000283447;ENSG00000158864;ENSG00000213619;ENSG00000145494;ENSG00000115286;ENSG00000110717;ENSG00000167792;ENSG00000178127;ENSG00000073578;ENSG00000117118;ENSG00000143252;ENSG00000204370;ENSG00000178537;ENSG00000184076;ENSG00000127540;ENSG00000156467;ENSG00000010256;ENSG00000140740;ENSG00000169021;ENSG00000173660;ENSG00000164405
hsa05016	Huntington disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05016+10975+1327+1329+1337+1340+1345+1349+1350+1351+1537+27089+291+292+293+29796+374291+4694+4697+4698+4700+4701+4702+4704+4707+4709+4710+4712+4714+4719+4720+4722+4723+4726+4728+4729+54205+5435+581+6389+6390+6391+6392+7381+7384+7385+7386+7388+7416+7417+7419+9167+9377	147	52	3.213550135501355	16.181480856805532	0	0	10975;1327;1329;1337;1340;1345;1349;1350;1351;1537;27089;291;292;293;29796;374291;4694;4697;4698;4700;4701;4702;4704;4707;4709;4710;4712;4714;4719;4720;4722;4723;4726;4728;4729;54205;5435;581;6389;6390;6391;6392;7381;7384;7385;7386;7388;7416;7417;7419;9167;9377	ENSG00000087088;ENSG00000131143;ENSG00000178741;ENSG00000135940;ENSG00000111775;ENSG00000126267;ENSG00000164919;ENSG00000115944;ENSG00000131174;ENSG00000127184;ENSG00000176340;ENSG00000179091;ENSG00000172115;ENSG00000125356;ENSG00000189043;ENSG00000128609;ENSG00000184983;ENSG00000272765;ENSG00000273397;ENSG00000277365;ENSG00000281013;ENSG00000267855;ENSG00000119421;ENSG00000139180;ENSG00000183648;ENSG00000119013;ENSG00000065518;ENSG00000165264;ENSG00000166136;ENSG00000023228;ENSG00000283447;ENSG00000158864;ENSG00000213619;ENSG00000145494;ENSG00000115286;ENSG00000110717;ENSG00000167792;ENSG00000178127;ENSG00000100142;ENSG00000073578;ENSG00000117118;ENSG00000143252;ENSG00000204370;ENSG00000151729;ENSG00000005022;ENSG00000169100;ENSG00000184076;ENSG00000127540;ENSG00000156467;ENSG00000010256;ENSG00000140740;ENSG00000169021;ENSG00000173660;ENSG00000164405;ENSG00000213585;ENSG00000165637;ENSG00000078668
hsa05010	Alzheimer disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05010+10975+1327+1329+1337+1340+1345+1349+1350+1351+1537+27089+29796+3028+374291+4694+4697+4698+4700+4701+4702+4704+4707+4709+4710+4712+4714+4719+4720+4722+4723+4726+4728+4729+54205+6389+6390+6391+6392+7381+7384+7385+7386+7388+840+9167+9377	136	46	2.9730803974706417	15.472168206125424	0	0	10975;1327;1329;1337;1340;1345;1349;1350;1351;1537;27089;29796;3028;374291;4694;4697;4698;4700;4701;4702;4704;4707;4709;4710;4712;4714;4719;4720;4722;4723;4726;4728;4729;54205;6389;6390;6391;6392;7381;7384;7385;7386;7388;840;9167;9377	ENSG00000165806;ENSG00000131143;ENSG00000178741;ENSG00000135940;ENSG00000111775;ENSG00000126267;ENSG00000164919;ENSG00000115944;ENSG00000131174;ENSG00000127184;ENSG00000176340;ENSG00000179091;ENSG00000172115;ENSG00000072506;ENSG00000125356;ENSG00000189043;ENSG00000128609;ENSG00000184983;ENSG00000272765;ENSG00000273397;ENSG00000277365;ENSG00000281013;ENSG00000267855;ENSG00000119421;ENSG00000139180;ENSG00000183648;ENSG00000119013;ENSG00000065518;ENSG00000165264;ENSG00000166136;ENSG00000023228;ENSG00000283447;ENSG00000158864;ENSG00000213619;ENSG00000145494;ENSG00000115286;ENSG00000110717;ENSG00000167792;ENSG00000178127;ENSG00000073578;ENSG00000117118;ENSG00000143252;ENSG00000204370;ENSG00000184076;ENSG00000127540;ENSG00000156467;ENSG00000010256;ENSG00000140740;ENSG00000169021;ENSG00000173660;ENSG00000164405
hsa04932	Non-alcoholic fatty liver disease (NAFLD)	http://www.kegg.jp/kegg-bin/show_pathway?hsa04932+10975+1327+1329+1337+1340+1345+1349+1350+1351+1537+27089+29796+374291+4694+4697+4698+4700+4701+4702+4704+4707+4709+4710+4712+4714+4719+4720+4722+4723+4726+4728+4729+54205+581+6389+6390+6391+6392+7381+7384+7385+7386+7388+840+9167+9377	128	46	2.798193315266486	16.439178719008265	0	0	10975;1327;1329;1337;1340;1345;1349;1350;1351;1537;27089;29796;374291;4694;4697;4698;4700;4701;4702;4704;4707;4709;4710;4712;4714;4719;4720;4722;4723;4726;4728;4729;54205;581;6389;6390;6391;6392;7381;7384;7385;7386;7388;840;9167;9377	ENSG00000087088;ENSG00000165806;ENSG00000131143;ENSG00000178741;ENSG00000135940;ENSG00000111775;ENSG00000126267;ENSG00000164919;ENSG00000115944;ENSG00000131174;ENSG00000127184;ENSG00000176340;ENSG00000179091;ENSG00000172115;ENSG00000125356;ENSG00000189043;ENSG00000128609;ENSG00000184983;ENSG00000272765;ENSG00000273397;ENSG00000277365;ENSG00000281013;ENSG00000267855;ENSG00000119421;ENSG00000139180;ENSG00000183648;ENSG00000119013;ENSG00000065518;ENSG00000165264;ENSG00000166136;ENSG00000023228;ENSG00000283447;ENSG00000158864;ENSG00000213619;ENSG00000145494;ENSG00000115286;ENSG00000110717;ENSG00000167792;ENSG00000178127;ENSG00000073578;ENSG00000117118;ENSG00000143252;ENSG00000204370;ENSG00000184076;ENSG00000127540;ENSG00000156467;ENSG00000010256;ENSG00000140740;ENSG00000169021;ENSG00000173660;ENSG00000164405
hsa05012	Parkinson disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05012+10975+1327+1329+1337+1340+1345+1349+1350+1351+1537+27089+27429+291+292+293+29796+374291+4694+4697+4698+4700+4701+4702+4704+4707+4709+4710+4712+4714+4719+4720+4722+4723+4726+4728+4729+54205+6389+6390+6391+6392+7381+7384+7385+7386+7388+7416+7417+7419+9167+9377	106	51	2.317253839205059	22.008810229221893	0	0	10975;1327;1329;1337;1340;1345;1349;1350;1351;1537;27089;27429;291;292;293;29796;374291;4694;4697;4698;4700;4701;4702;4704;4707;4709;4710;4712;4714;4719;4720;4722;4723;4726;4728;4729;54205;6389;6390;6391;6392;7381;7384;7385;7386;7388;7416;7417;7419;9167;9377	ENSG00000131143;ENSG00000178741;ENSG00000135940;ENSG00000111775;ENSG00000126267;ENSG00000164919;ENSG00000115944;ENSG00000131174;ENSG00000127184;ENSG00000176340;ENSG00000179091;ENSG00000172115;ENSG00000115317;ENSG00000125356;ENSG00000189043;ENSG00000128609;ENSG00000184983;ENSG00000272765;ENSG00000273397;ENSG00000277365;ENSG00000281013;ENSG00000267855;ENSG00000119421;ENSG00000139180;ENSG00000183648;ENSG00000119013;ENSG00000065518;ENSG00000165264;ENSG00000166136;ENSG00000023228;ENSG00000283447;ENSG00000158864;ENSG00000213619;ENSG00000145494;ENSG00000115286;ENSG00000110717;ENSG00000167792;ENSG00000178127;ENSG00000073578;ENSG00000117118;ENSG00000143252;ENSG00000204370;ENSG00000151729;ENSG00000005022;ENSG00000169100;ENSG00000184076;ENSG00000127540;ENSG00000156467;ENSG00000010256;ENSG00000140740;ENSG00000169021;ENSG00000173660;ENSG00000164405;ENSG00000213585;ENSG00000165637;ENSG00000078668
hsa01200	Carbon metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa01200+1431+1737+1738+1743+1892+2271+2746+2806+2821+3030+34+3417+3418+3419+3420+3421+38+4190+4191+4329+4967+50+5160+5162+6389+6390+6391+6392+8802+8803	92	30	2.011201445347787	14.916457060725834	0	0	1431;1737;1738;1743;1892;2271;2746;2806;2821;3030;34;3417;3418;3419;3420;3421;38;4190;4191;4329;4967;50;5160;5162;6389;6390;6391;6392;8802;8803	ENSG00000117054;ENSG00000075239;ENSG00000100412;ENSG00000119711;ENSG00000062485;ENSG00000150768;ENSG00000091140;ENSG00000119689;ENSG00000127884;ENSG00000091483;ENSG00000148672;ENSG00000125166;ENSG00000105220;ENSG00000282019;ENSG00000084754;ENSG00000138413;ENSG00000182054;ENSG00000166411;ENSG00000101365;ENSG00000067829;ENSG00000014641;ENSG00000146701;ENSG00000105953;ENSG00000131828;ENSG00000168291;ENSG00000073578;ENSG00000117118;ENSG00000143252;ENSG00000204370;ENSG00000136143;ENSG00000163541
hsa00190	Oxidative phosphorylation	http://www.kegg.jp/kegg-bin/show_pathway?hsa00190+10063+10975+1327+1329+1337+1340+1345+1349+1350+1351+1537+27089+29796+374291+4694+4697+4698+4700+4701+4702+4704+4707+4709+4710+4712+4714+4719+4720+4722+4723+4726+4728+4729+51382+51606+527+528+529+537+6389+6390+6391+6392+7381+7384+7385+7386+7388+8992+9167+9296+9377+9550	84	53	1.8363143631436316	28.86216056670602	0	0	10063;10975;1327;1329;1337;1340;1345;1349;1350;1351;1537;27089;29796;374291;4694;4697;4698;4700;4701;4702;4704;4707;4709;4710;4712;4714;4719;4720;4722;4723;4726;4728;4729;51382;51606;527;528;529;537;6389;6390;6391;6392;7381;7384;7385;7386;7388;8992;9167;9296;9377;9550	ENSG00000071553;ENSG00000185883;ENSG00000113732;ENSG00000155097;ENSG00000100554;ENSG00000131100;ENSG00000128524;ENSG00000136888;ENSG00000047249;ENSG00000138495;ENSG00000131143;ENSG00000178741;ENSG00000135940;ENSG00000111775;ENSG00000126267;ENSG00000164919;ENSG00000115944;ENSG00000131174;ENSG00000127184;ENSG00000176340;ENSG00000179091;ENSG00000125356;ENSG00000189043;ENSG00000128609;ENSG00000184983;ENSG00000272765;ENSG00000273397;ENSG00000277365;ENSG00000281013;ENSG00000267855;ENSG00000119421;ENSG00000139180;ENSG00000183648;ENSG00000119013;ENSG00000065518;ENSG00000165264;ENSG00000166136;ENSG00000023228;ENSG00000283447;ENSG00000158864;ENSG00000213619;ENSG00000145494;ENSG00000115286;ENSG00000110717;ENSG00000167792;ENSG00000178127;ENSG00000073578;ENSG00000117118;ENSG00000143252;ENSG00000204370;ENSG00000184076;ENSG00000127540;ENSG00000156467;ENSG00000010256;ENSG00000140740;ENSG00000169021;ENSG00000173660;ENSG00000164405
hsa04260	Cardiac muscle contraction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04260+10975+1327+1329+1337+1340+1345+1349+1350+1351+1537+27089+29796+481+7381+7384+7385+7386+7388+9167+9377	63	20	1.3772357723577238	14.521841794569065	0	0	10975;1327;1329;1337;1340;1345;1349;1350;1351;1537;27089;29796;481;7381;7384;7385;7386;7388;9167;9377	ENSG00000143153;ENSG00000131143;ENSG00000178741;ENSG00000135940;ENSG00000111775;ENSG00000126267;ENSG00000164919;ENSG00000115944;ENSG00000131174;ENSG00000127184;ENSG00000176340;ENSG00000179091;ENSG00000184076;ENSG00000127540;ENSG00000156467;ENSG00000010256;ENSG00000140740;ENSG00000169021;ENSG00000173660;ENSG00000164405
hsa00020	Citrate cycle (TCA cycle)	http://www.kegg.jp/kegg-bin/show_pathway?hsa00020+1431+1737+1738+1743+2271+3417+3418+3419+3420+3421+4190+4191+4967+50+5160+5162+6389+6390+6391+6392+8802+8803	26	22	0.568383017163505	38.7062937062937	0	0	1431;1737;1738;1743;2271;3417;3418;3419;3420;3421;4190;4191;4967;50;5160;5162;6389;6390;6391;6392;8802;8803	ENSG00000100412;ENSG00000062485;ENSG00000150768;ENSG00000091140;ENSG00000119689;ENSG00000091483;ENSG00000138413;ENSG00000182054;ENSG00000166411;ENSG00000101365;ENSG00000067829;ENSG00000014641;ENSG00000146701;ENSG00000105953;ENSG00000131828;ENSG00000168291;ENSG00000073578;ENSG00000117118;ENSG00000143252;ENSG00000204370;ENSG00000136143;ENSG00000163541
hsa00640	Propanoate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00640+1738+1892+3030+34+38+3939+3945+4329+593+8802+8803	24	11	0.5246612466124662	20.96590909090909	6.769029781139579e-13	2.0171708747795947e-11	1738;1892;3030;34;38;3939;3945;4329;593;8802;8803	ENSG00000117054;ENSG00000075239;ENSG00000119711;ENSG00000248098;ENSG00000091140;ENSG00000127884;ENSG00000084754;ENSG00000134333;ENSG00000111716;ENSG00000136143;ENSG00000163541
