"ENSG00000154262","ABCA6"
"ENSG00000174429","ABRA"
"ENSG00000167315","ACAA2"
"ENSG00000135503","ACVR1B"
"ENSG00000148700","ADD3"
"ENSG00000160993","ALKBH4"
"ENSG00000184675","AMER1"
"ENSG00000126016","AMOT"
"ENSG00000141552","ANAPC11"
"ENSG00000138772","ANXA3"
"ENSG00000149089","APIP"
"ENSG00000175336","APOF"
"ENSG00000132254","ARFIP2"
"ENSG00000154723","ATP5J"
"ENSG00000167601","AXL"
"ENSG00000177191","B3GNT8"
"ENSG00000064989","CALCRL"
"ENSG00000173992","CCS"
"ENSG00000117281","CD160"
"ENSG00000101017","CD40"
"ENSG00000110651","CD81"
"ENSG00000213085","CFAP45"
"ENSG00000169105","CHST14"
"ENSG00000166250","CLMP"
"ENSG00000080802","CNOT4"
"ENSG00000084636","COL16A1"
"ENSG00000130635","COL5A1"
"ENSG00000130545","CRB3"
"ENSG00000103316","CRYM"
"ENSG00000175315","CST6"
"ENSG00000152404","CWF19L2"
"ENSG00000140459","CYP11A1"
"ENSG00000137992","DBT"
"ENSG00000184014","DENND5A"
"ENSG00000172893","DHCR7"
"ENSG00000160305","DIP2A"
"ENSG00000118997","DNAH7"
"ENSG00000102580","DNAJC3"
"ENSG00000108591","DRG2"
"ENSG00000124802","EEF1E1"
"ENSG00000034239","EFCAB1"
"ENSG00000122877","EGR2"
"ENSG00000115504","EHBP1"
"ENSG00000111361","EIF2B1"
"ENSG00000117525","F3"
"ENSG00000163586","FABP1"
"ENSG00000205186","FABP9"
"ENSG00000221968","FADS3"
"ENSG00000172775","FAM192A"
"ENSG00000124098","FAM210B"
"ENSG00000158483","FAM86C1"
"ENSG00000198690","FAN1"
"ENSG00000276787","FAN1"
"ENSG00000141665","FBXO15"
"ENSG00000142748","FCN3"
"ENSG00000065970","FOXJ2"
"ENSG00000114861","FOXP1"
"ENSG00000268089","GABRQ"
"ENSG00000106648","GALNTL5"
"ENSG00000141013","GAS8"
"ENSG00000283182","GAS8"
"ENSG00000087258","GNAO1"
"ENSG00000261794","GOLGA8H"
"ENSG00000023171","GRAMD1B"
"ENSG00000180875","GREM2"
"ENSG00000149403","GRIK4"
"ENSG00000170899","GSTA4"
"ENSG00000169840","GSX1"
"ENSG00000153767","GTF2E1"
"ENSG00000019991","HGF"
"ENSG00000105323","HNRNPUL1"
"ENSG00000174775","HRAS"
"ENSG00000276536","HRAS"
"ENSG00000170801","HTRA3"
"ENSG00000182700","IGIP"
"ENSG00000135480","KRT7"
"ENSG00000169744","LDB2"
"ENSG00000164715","LMTK2"
"ENSG00000156564","LRFN2"
"ENSG00000137507","LRRC32"
"ENSG00000151033","LYZL2"
"ENSG00000034152","MAP2K3"
"ENSG00000198125","MB"
"ENSG00000140943","MBTPS1"
"ENSG00000161920","MED11"
"ENSG00000161013","MGAT4B"
"ENSG00000177427","MIEF2"
"ENSG00000271447","MMP28"
"ENSG00000278843","MMP28"
"ENSG00000103111","MON1B"
"ENSG00000133131","MORC4"
"ENSG00000277936","MRPL45"
"ENSG00000278845","MRPL45"
"ENSG00000166930","MS4A5"
"ENSG00000198712","MT-CO2"
"ENSG00000146085","MUT"
"ENSG00000138119","MYOF"
"ENSG00000121152","NCAPH"
"ENSG00000266412","NCOA4"
"ENSG00000177551","NHLH2"
"ENSG00000188747","NOXA1"
"ENSG00000141458","NPC1"
"ENSG00000169418","NPR1"
"ENSG00000035681","NSMAF"
"ENSG00000135114","OASL"
"ENSG00000109205","ODAM"
"ENSG00000188770","OPTC"
"ENSG00000196832","OR11G2"
"ENSG00000186943","OR13C8"
"ENSG00000179055","OR13D1"
"ENSG00000112459","OR14J1"
"ENSG00000204695","OR14J1"
"ENSG00000225291","OR14J1"
"ENSG00000234100","OR14J1"
"ENSG00000234195","OR14J1"
"ENSG00000236927","OR14J1"
"ENSG00000237777","OR14J1"
"ENSG00000155249","OR4K1"
"ENSG00000180974","OR52E4"
"ENSG00000181785","OR5AS1"
"ENSG00000254834","OR5M10"
"ENSG00000258083","OR9A4"
"ENSG00000180914","OXTR"
"ENSG00000165912","PACSIN3"
"ENSG00000234068","PAGE2"
"ENSG00000140479","PCSK6"
"ENSG00000119630","PGF"
"ENSG00000215021","PHB2"
"ENSG00000129292","PHF20L1"
"ENSG00000078142","PIK3C3"
"ENSG00000102309","PIN4"
"ENSG00000130300","PLVAP"
"ENSG00000127948","POR"
"ENSG00000214517","PPME1"
"ENSG00000204576","PRR3"
"ENSG00000206491","PRR3"
"ENSG00000223766","PRR3"
"ENSG00000223887","PRR3"
"ENSG00000228186","PRR3"
"ENSG00000229202","PRR3"
"ENSG00000233564","PRR3"
"ENSG00000155093","PTPRN2"
"ENSG00000282185","PTPRN2"
"ENSG00000165105","RASEF"
"ENSG00000072042","RDH11"
"ENSG00000162924","REL"
"ENSG00000008853","RHOBTB2"
"ENSG00000139405","RITA1"
"ENSG00000115841","RMDN2"
"ENSG00000135828","RNASEL"
"ENSG00000118518","RNF146"
"ENSG00000132972","RNF17"
"ENSG00000153574","RPIA"
"ENSG00000142534","RPS11"
"ENSG00000048649","RSF1"
"ENSG00000125744","RTN2"
"ENSG00000146285","SCML4"
"ENSG00000140264","SERF2"
"ENSG00000196136","SERPINA3"
"ENSG00000273259","SERPINA3"
"ENSG00000167711","SERPINF2"
"ENSG00000276838","SERPINF2"
"ENSG00000104332","SFRP1"
"ENSG00000120057","SFRP5"
"ENSG00000102683","SGCG"
"ENSG00000160999","SH2B2"
"ENSG00000142669","SH3BGRL3"
"ENSG00000176974","SHMT1"
"ENSG00000018280","SLC11A1"
"ENSG00000139370","SLC15A4"
"ENSG00000143554","SLC27A3"
"ENSG00000263163","SLC27A3"
"ENSG00000137700","SLC37A4"
"ENSG00000281500","SLC37A4"
"ENSG00000155465","SLC7A7"
"ENSG00000172554","SNTG2"
"ENSG00000281020","SNTG2"
"ENSG00000281486","SNTG2"
"ENSG00000110025","SNX15"
"ENSG00000149639","SOGA1"
"ENSG00000021574","SPAST"
"ENSG00000101222","SPEF1"
"ENSG00000136011","STAB2"
"ENSG00000164211","STARD4"
"ENSG00000204344","STK19"
"ENSG00000206342","STK19"
"ENSG00000226033","STK19"
"ENSG00000226257","STK19"
